COMPANY,EXP,Industry ,JOB,Location.1,Min Salary,Max Salary,Salary.1
Công ty cổ phần công nghệ Bếp Toàn Cầu,1 năm,Công nghệ thông tin,Chuyên Viên Thiết Kế Đồ Họa (Graphic Designer) - Lương Từ 11 Triệu/ Tháng + Thưởng KPI,Hà Nội,11,0,11
Công ty cổ phần công nghệ Bếp Toàn Cầu,1 năm,"Marketing,PR,QC",Chuyên Viên Thiết Kế Đồ Họa (Graphic Designer) - Lương Từ 11 Triệu/ Tháng + Thưởng KPI,Hà Nội,11,0,11
CÔNG TY CỔ PHẦN CÔNG NGHỆ CHIẾU SÁNG ILIKE,3 năm,"Kế toán,Kiểm toán,Thuế",Kế Toán Tổng Hợp (Có Kinh Nghiệm Quyết Toán Thuế) - Từ 3 Năm Kinh Nghiệm - Thu Nhập Hấp Dẫn Up To 18...,Hà Nội,15,18,15-18
CÔNG TY CỔ PHẦN CÔNG NGHỆ DURABLE NEWTECH,2 năm,"Điện,Điện tử viễn thông",Nhân Viên Kỹ Thuật Điện Nước,Hà Nội,0,0,0
Công ty Cổ phần Công nghệ EupFin Việt Nam,0,"Bán lẻ,Dịch vụ đời sống",Nhân Viên Kinh Doanh/Sales (Làm Việc T2- T6) - Thu Nhập Hấp Dẫn,"Hà Nội, Hải Phòng",25,0,25
Công ty Cổ phần Công nghệ EupFin Việt Nam,0,"Kinh doanh,Bán hàng",Nhân Viên Kinh Doanh/Sales (Làm Việc T2- T6) - Thu Nhập Hấp Dẫn,"Hà Nội, Hải Phòng",25,0,25
CÔNG TY CỔ PHẦN CÔNG NGHỆ FLYER,1 năm,Công nghệ thông tin,Chuyên Viên Kinh Doanh - Phần Mềm Giáo Dục Edtech,Hà Nội,10,15,10-15
CÔNG TY CỔ PHẦN CÔNG NGHỆ GETFLY VIỆT NAM,0-1 năm,Công nghệ thông tin,Nhân Viên Kinh Doanh/ Tư Vấn Giải Pháp Phần Mềm Cho Doanh Nghiệp (Nghỉ T7 & CN),"Hà Nội, Hồ Chí Minh",7,20,7-20
CÔNG TY CỔ PHẦN CÔNG NGHỆ GIÁO DỤC BTS,0-1 năm,"Giáo dục,Đào tạo",Giáo Viên Giáo Dục Thể Chất,Hồ Chí Minh,7,15,7-15
CÔNG TY CỔ PHẦN CÔNG NGHỆ GIÁO DỤC NATIVE X,1 năm,"Giáo dục,Đào tạo","Giáo Viên Tiếng Anh Online Part Time, Ca Linh Hoạt",Bà Rịa-Vũng Tàu,0,0,0
